source_key,source_page,source_position,name,comment,created_at
gameslice:p5:c10,5,10,R \'Calvary\' Hotaling,"You did a great job documenting the games development cycle - a truly great read.  I would love to see more of these in the future 
(or even a redux of The Final Hours of HL!)",2011-07-09 18:11:00
gameslice:p6:c1,6,1,dragothica,Interesting to read nonetheless.,2011-07-09 17:54:00
gameslice:p6:c2,6,2,lambdac0re,Thanks for this very interesting piece about Portal 2 and Valve in general. I enjoyed reading as well as playing through the game. Thumbs up and greetings from Germany.,2011-07-09 17:19:00
gameslice:p6:c3,6,3,Paul,it's awesome,2011-07-09 15:43:00
gameslice:p6:c4,6,4,shovelface88,"Please for the love of God Valve, finish up the Half Life 2 story.",2011-07-09 15:15:00
gameslice:p6:c5,6,5,Scrab,I bought this with the money left in my steam pocket after some TF2 items. But it was worth more than this.,2011-07-09 14:53:00
gameslice:p6:c6,6,6,Piggy,Very interesting and informative book! I like both Portal 1 and 2 and thanks for all the good work!,2011-07-09 14:02:00
gameslice:p6:c7,6,7,LOL,"$60 Spent From Inavators
Thanks Cave Johnson",2011-07-09 10:00:00
gameslice:p6:c8,6,8,jspar66,iits good and the game is 2 but it would be cool to go back in time with f-stop and have a toataly new person cave jonson or portal 3 and theres an evil robot or somthing and you dont just get 2 be 1 person,2011-07-09 09:07:00
gameslice:p6:c9,6,9,Tom,Bring us more like this.,2011-07-09 08:53:00
gameslice:p6:c10,6,10,Melinda,"Definitely an interesting read, and I loved getting a better look at the artwork (as well as seeing the art of what might have been).",2011-07-09 08:22:00
gameslice:p7:c1,7,1,Vercci,"Great read, but it would have been nice if we had the option of a couple of songs playing in the background.",2011-07-09 06:54:00
gameslice:p7:c2,7,2,Flaming Tiger-Dragon,"I really hope VALVe looks at that last poll. Im pretty sure if the next game they release is not the next Half-Life installment, alot of fans will collectively have an aneurysm.",2011-07-09 06:16:00
gameslice:p7:c3,7,3,FairTaxFanBoy,"That was great. What i take away it the family built by Valve, and my slight jealousy at this amazing group. If i evet have a company, yours is an inspiration.",2011-07-09 05:15:00
gameslice:p7:c4,7,4,Morrow,Wow! very nice,2011-07-09 04:47:00
gameslice:p7:c5,7,5,Trunk Slamchest,"fantastic read that provides the aspiring graphic artist/game developer with an inside look to the genius that is valve.

A top secret project that wont be ready within the next five years, gabe? looks like we've got a long time to wait for episode three :3",2011-07-09 04:37:00
gameslice:p7:c6,7,6,darthmertz,I'm glad I read it!,2011-07-09 04:30:00
gameslice:p7:c7,7,7,Peter white,I wish every game i loved had one of these write-ups!,2011-07-09 04:21:00
gameslice:p7:c8,7,8,Ben,"I thoroughly enjoyed this! Great writing and insight, and the delivery of the content through this app felt very seamless. Thank you.",2011-07-09 03:53:00
gameslice:p7:c9,7,9,Akilea,"Interesting! Great initiative. Thought I prefered the in-game comments like in Left4Dead, I don't regret spending 2$ for The Final Hours of Portal 2!",2011-07-09 02:52:00
gameslice:p7:c10,7,10,EpicSmiley,GJ People! This was some intresting stuff!,2011-07-09 02:44:00
gameslice:p8:c1,8,1,Insomnia,"When I first met Portal was when my older brother of 8 years of difference was playing it in our rPC, and I was just seeing him playing the game, admiring. All the challenge that Portal brings and all the comic parts of it make me richer as a gamer and proud to be apart of a game that certainly revolutionized if not created a genre of his own. PS: Portal 2 was also awesome, even greater!",2011-07-09 00:20:00
gameslice:p8:c2,8,2,Erik Andersson,THis was really interesting. Sat up 2 hours more then i planed just to finnish reading this. Although i would have really enjoyed some behind the scenes videos. Was worth the small amount i spent.,2011-07-09 00:19:00
gameslice:p8:c3,8,3,Thomas,I think this is a really cool app. But i am sad that almost everyone voted on half life 3 D:,2011-07-08 23:54:00
gameslice:p8:c4,8,4,swede,Portal 2 - my game of the year so far. Keep it going valve.,2011-07-08 22:26:00
gameslice:p8:c5,8,5,Max,"Great read.
I really do enjoy those post-mortems.",2011-07-08 22:23:00
gameslice:p8:c6,8,6,Space Core,SPACcccccccccccccccccce!,2011-07-08 21:22:00
gameslice:p8:c7,8,7,mocoa,Excellent. ;),2011-07-08 21:20:00
gameslice:p8:c8,8,8,WalkerTR,"Learnt a lot of things about Valve and Portal 2's storyline :)
Great :)",2011-07-08 20:30:00
gameslice:p8:c9,8,9,Chillius03,Best Game Ever In The VALVe Collection,2011-07-08 20:25:00
gameslice:p8:c10,8,10,William C.,Easily one of the best extras I've ever bought.,2011-07-08 19:37:00
gameslice:p9:c1,9,1,Cody,"Holy shit this is a work of art. I feel closer to Valve in a weird way, and I suddenly want to play each and every Valve game to appreciate the beautiful artwork,  deep storyline and immense plot.",2011-07-08 18:25:00
gameslice:p9:c2,9,2,KIMJISU,....,2011-07-08 16:43:00
gameslice:p9:c3,9,3,George,"this was awesome, absolutely amazing",2011-07-08 16:37:00
gameslice:p9:c4,9,4,Jac,"It was a very well made and interesting presentation.
But i think it should have been free, because its pretty good advertizing.",2011-07-08 15:06:00
gameslice:p9:c5,9,5,Bob,Its a really interesting book,2011-07-08 14:27:00
gameslice:p9:c6,9,6,BBOM_71,"So much work over so much time by so many people.
Very much appreciated

Thank you",2011-07-08 12:44:00
gameslice:p9:c7,9,7,Akemmi,As a struggling artist and writer I found seeing the creative process behind making such an original and innovative game inspiring.,2011-07-08 11:45:00
gameslice:p9:c8,9,8,ToiletRule,"Very, very interesting! Money well spent! :D",2011-07-08 11:44:00
gameslice:p9:c9,9,9,Cyberian Tiger,"Wonderful read,  I am glad to know whats it been like for Valve during the develpment of Portal 2.",2011-07-08 09:13:00
gameslice:p9:c10,9,10,Reoh,"Fascinating experience, although it felt less like the Final Hours of Portal 2 and more akin to a peak behind Valve's doors. Interesting none the less!",2011-07-08 08:53:00
gameslice:p10:c1,10,1,brandon,those.robots.were.hilarious. it was worth the $$ just for the laughs,2011-07-08 06:30:00
gameslice:p10:c2,10,2,deepT215,"Very good, it´s more than I thought!
 But I agree to Askru:
'Intresting, but it would be better if you translate the book to the other languages. Thank you.'
Thank you, too.",2011-07-08 05:16:00
gameslice:p10:c3,10,3,Adam,amazing work... yknow i wonder if they will make a 3rd portal... like a trilogy,2011-07-08 04:31:00
gameslice:p10:c4,10,4,Brett,A great in-depth look into the creation of a genre-defining game.  A must read for any Portal fans.,2011-07-08 04:19:00
gameslice:p10:c5,10,5,SHODANFreeman,"You should have included 2 Robots 1 Wrench as a choice in the ""what game would you like to see next?"" poll.",2011-07-08 03:48:00
gameslice:p10:c6,10,6,Rodrigo Wulff,good! Thank you.,2011-07-08 03:09:00
gameslice:p10:c7,10,7,Wux,"Never saw nothing like this before, very original.",2011-07-08 02:28:00
gameslice:p10:c8,10,8,Pmonette94,"Absolutely loved Portal 2, putting in about 30 hours not including user made levels, and ""Final Hours"" really was the cherry on the icing for Portal 2. Valve is the best videogame company out there, and their appreciation for their fans was displayed throughout this presentation. Love tosee more Portal in the future!",2011-07-08 01:51:00
gameslice:p10:c9,10,9,catty pacific,now i know where portal 2 comes from.,2011-07-08 00:06:00
gameslice:p10:c10,10,10,Celeste,Yes this was great.,2011-07-07 23:57:00
gameslice:p11:c1,11,1,Jamlopez,"what an awesome piece of wrok, Good job :), tottally worth my money and time, very interesting ;)",2011-07-07 23:04:00
gameslice:p11:c2,11,2,IronianKnight,The whole story is fascinating. Looking into the life of Valve as a company was a very enlightening and entertaining experience.,2011-07-07 22:39:00
gameslice:p11:c3,11,3,kulz,interesting story but TL;DR,2011-07-07 22:13:00
gameslice:p11:c4,11,4,Spencer,Really well laid out and thought out. Told a compelling story that is not often heard. I look forward to the future of gaming.,2011-07-07 22:09:00
gameslice:p11:c5,11,5,Anonymous,A great reading experience. Thank you.,2011-07-07 20:42:00
gameslice:p11:c6,11,6,Regimital,"Very interesting and informing read. The creative process behind Portal 2 is amazing, now that I've read about it. Truly inspiring :)",2011-07-07 20:37:00
gameslice:p11:c7,11,7,Ritgun,Great game and great small little book. Just wonderful.,2011-07-07 20:30:00
gameslice:p11:c8,11,8,Iurii,Very interesting and visually great! Thank you.,2011-07-07 18:15:00
gameslice:p11:c9,11,9,MN,Really nice. I wish this would happen with more games.,2011-07-07 18:01:00
gameslice:p11:c10,11,10,Aniki,Amazing!,2011-07-07 17:50:00
gameslice:p12:c1,12,1,Schenanigans,"Interesting read.  I didn't much about the history of Valve or the Portal games.
In an unrelated note, why does every Adobe product make make graphics and text look circa 1998?",2011-07-07 17:02:00
gameslice:p12:c2,12,2,MagnuM,Really beautiful.,2011-07-07 14:18:00
gameslice:p12:c3,12,3,mSamyel,Awesome!,2011-07-07 14:12:00
gameslice:p12:c4,12,4,Imran,"A wonderful read, I would glady buy this in a physical copy as well as The Final Hours of Half Life 2, please make a physical copy!",2011-07-07 14:06:00
gameslice:p12:c5,12,5,Sander van Rossen,"Awesome read. Awesome game. I wish it was longer though, kept me wanting more .. and the cooperative part has a fatal flaw: you need someone to play it with :(",2011-07-07 14:00:00
gameslice:p12:c6,12,6,Armanac,This is really cool. I only ficked through it but I cant wait to read it. Makes me wish I had an iPad to read it on.,2011-07-07 13:41:00
gameslice:p12:c7,12,7,Kevin,"It was extremely interesting to me to see the way all of the smaller parts clicked together into this wonderful game. It makes me want to read ""The Final Hours of Half-Life"".",2011-07-07 12:29:00
